state_range,action
[107.   8.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[107.   9.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[105.  10.  59.   1.   0.   0.   6.   0.   0. 156.],"0,0"
[132.   11.   59.    2.    1.5   1.    6.    0.    0.  156. ],"3,0"
[125.   12.   59.    3.    1.5   2.    6.    0.    0.  156. ],"0,0"
[125.   13.   59.    4.    1.5   3.    6.    0.    0.  156. ],"0,0"
[128.   14.    0.    0.    1.5   4.    6.    0.    0.  156. ],"0,0"
[101.  15.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[105.  16.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[104.  17.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 99.  18.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[100.  19.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 94.  20.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 91.  21.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 95.  22.  70.   1.   0.   0.   6.   0.   0. 156.],"0,0"
[123.  23.  70.   2.   2.   1.   6.   0.   0. 156.],"4,0"
[108.   0.  70.   3.   2.   2.   6.   0.   0. 189.],"0,0"
[ 45.   1.  70.   4.   2.   3.   6.   0.   0. 189.],"0,0"
[ 88.   2.   0.   0.   2.   4.   6.   0.   0. 189.],"0,2"
[ 87.   3.   0.   0.   0.   0.   6.   0.   0. 189.],"0,1"
[ 84.   4.   0.   0.   0.   0.   6.   0.   0. 189.],"0,0"
